open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-08-02 05:00:00,3.0184,3.0194,3.0041,3.0099,17723093.8,2025-08-02 05:59:59.999,53349335.982,73603,8510446.8,25619079.41212,0
2025-08-02 06:00:00,3.0099,3.0112,2.9441,2.9679,46158807.8,2025-08-02 06:59:59.999,137117912.1005,176060,22827136.3,67767132.8439,0
2025-08-02 07:00:00,2.9679,2.9939,2.9451,2.9912,32631271.9,2025-08-02 07:59:59.999,97029349.56448,130027,17932045.2,53355103.78532,0
2025-08-02 08:00:00,2.9912,3.0008,2.9724,2.9768,22587870.8,2025-08-02 08:59:59.999,67436554.00514,91819,10339458.3,30872187.17113,0
2025-08-02 09:00:00,2.9767,2.9839,2.9536,2.9656,23584973.5,2025-08-02 09:59:59.999,69917934.15255,109523,11766014.4,34879335.07397,0
2025-08-02 10:00:00,2.9657,2.9692,2.9323,2.9423,30990883.9,2025-08-02 10:59:59.999,91328558.12356,115995,15640206.4,46091728.41698,0
2025-08-02 11:00:00,2.9423,2.9612,2.9286,2.9394,28871493.5,2025-08-02 11:59:59.999,85007403.63822,110360,15249011.8,44905170.5845,0
2025-08-02 12:00:00,2.9395,2.9439,2.922,2.9374,25268180.3,2025-08-02 12:59:59.999,74095488.76294,112567,13110198.4,38448961.04893,0
2025-08-02 13:00:00,2.9374,2.9458,2.9168,2.9383,24345220.7,2025-08-02 13:59:59.999,71349203.53174,104721,12206412.4,35781220.02928,0
2025-08-02 14:00:00,2.9383,2.9401,2.8699,2.8773,70459029.4,2025-08-02 14:59:59.999,204059115.16259,219705,29632742.7,85813488.02142,0
2025-08-02 15:00:00,2.8772,2.8928,2.8208,2.8289,79381005.6,2025-08-02 15:59:59.999,226617384.67714,236787,31672658.7,90449469.74813,0
2025-08-02 16:00:00,2.829,2.8515,2.8104,2.8427,70220653.0,2025-08-02 16:59:59.999,198887106.1774,242908,36586522.2,103644417.49232,0
2025-08-02 17:00:00,2.8428,2.8644,2.8064,2.8225,54839634.1,2025-08-02 17:59:59.999,155600146.1299,178900,25873139.8,73417040.44267,0
2025-08-02 18:00:00,2.8226,2.8319,2.7407,2.7597,135155442.1,2025-08-02 18:59:59.999,375317094.25281,383776,58188372.7,161562299.57737,0
2025-08-02 19:00:00,2.7596,2.8165,2.7531,2.7784,70892763.2,2025-08-02 19:59:59.999,197584609.34004,225533,35375052.0,98610070.64961,0
